name,hex,link
Naranja de portland,#ff5a36,https://es.wikipedia.org/wiki/Naranja_de_portland
Naranja persa,#d99058,https://es.wikipedia.org/wiki/Naranja_persa
Negro,#000000,https://es.wikipedia.org/wiki/Negro_(color)
Negro bujía,#2a3223,https://es.wikipedia.org/wiki/Negro_de_humo#Negro_bujía
Negro de humo,#382212,https://es.wikipedia.org/wiki/Negro_de_humo
Nogal,#5d432c,https://es.wikipedia.org/wiki/Marr%C3%B3n#Otros_ejemplos_y_tipos_de_marrón
Níquel,#8f817f,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Ocaso,#fad6a5,https://es.wikipedia.org/wiki/Ocaso_(color)
Ocre,#b9935a,https://es.wikipedia.org/wiki/Ocre#El_color_ocre
Ocre amarillo,#d9ad2a,https://es.wikipedia.org/wiki/Ocre#Ocres_de_uso_artístico
Ocre dorado,#c97e28,https://es.wikipedia.org/wiki/Ocre#Ocre_dorado
Ocre pardo,#5f3f3e,https://es.wikipedia.org/wiki/Ocre#Ocre_pardo
Ocre rojo,#823a3f,https://es.wikipedia.org/wiki/Ocre#Ocre_rojo_tostado
Oliva,#808000,https://es.wikipedia.org/wiki/Oliva_(color)#Colores_web
Oro,#ffd700,https://es.wikipedia.org/wiki/Oro_(color)
Oro viejo,#cfb53b,https://es.wikipedia.org/wiki/Oro_(color)#Coloraciones_doradas
Orquídea,#da70d6,https://es.wikipedia.org/wiki/Malva_(color)#Colores_web
Palo rosa,#dd969c,https://es.wikipedia.org/wiki/Rosa_(color)#Ejemplos_del_color_rosado
Palta o aguacate,#578304,https://es.wikipedia.org/wiki/Verde_amarillo#Otros_ejemplos_verde-amarillos
Pardo,#ac8147,https://es.wikipedia.org/wiki/Marr%C3%B3n#Pardo
Perla,#f0ead6,https://es.wikipedia.org/wiki/Blanco#Variedades_del_blanco
Perú,#cd853f,https://es.wikipedia.org/wiki/Marr%C3%B3n#Colores_web
Piel,#ffd4b2,https://es.wikipedia.org/wiki/Piel_(color)
Pistacho,#93c572,https://es.wikipedia.org/wiki/Verde#Verdes_agrisados
Pizarra,#5d6770,https://es.wikipedia.org/wiki/Pizarra_(color)
Plata o plateado,#c0c0c0,https://es.wikipedia.org/wiki/Plata_(color)
Platino,#e5e4e2,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Plomo,#575757,https://es.wikipedia.org/wiki/Plomo_(color)
Porcelana,#436b95,https://es.wikipedia.org/wiki/Azul#Tipos_de_azules
Porráceo,#245338,https://es.wikipedia.org/wiki/Verde#Verdes_agrisados
Puerro,#cbc65d,https://es.wikipedia.org/wiki/Verde_amarillo#Otros_ejemplos_verde-amarillos
Punzó,#e62e11,https://es.wikipedia.org/wiki/Punz%C3%B3
Purpúreo,#9a4eae,https://es.wikipedia.org/wiki/P%C3%BArpura#Purpúreo_o_púrpura_en_biología
Púrpura,#6a0dad,https://es.wikipedia.org/wiki/P%C3%BArpura
